key,en,es,fr,de,it,pt,ru,ja,zh,ko
save,✓ Save,✓ Guardar,✓ Enregistrer,✓ Speichern,✓ Salva,✓ Salvar,✓ Сохранить,✓ 保存,✓ 保存,✓ 저장
cancel,← Cancel,← Cancelar,← Annuler,← Abbrechen,← Annulla,← Cancelar,← Отмена,← キャンセル,← 取消,← 취소
errIncomplete,Some words are incomplete: fill both columns or remove them.,Hay palabras incompletas: completá ambas columnas o quitalas.,Certains mots sont incomplets : remplissez les deux colonnes ou retirez-les.,Einige Wörter sind unvollständig: Fülle beide Spalten aus oder entferne sie.,Alcune parole sono incomplete: riempi entrambe le colonne o rimuovile.,Algumas palavras estão incompletas: preencha as duas colunas ou remova-as.,Некоторые слова заполнены не полностью: заполните оба столбца или уберите их.,未入力の単語があります。両方の列を埋めるか、削除してください。,有些单词还没填完：请填好两列，或者把它们移除。,비어 있는 단어가 있어요. 두 칸을 모두 채우거나 삭제하세요.
errNoTitle,The song needs a title.,La canción necesita un título.,La chanson a besoin d'un titre.,Das Lied braucht einen Titel.,La canzone ha bisogno di un titolo.,A música precisa de um título.,Песне нужно название.,曲にはタイトルが必要です。,歌曲需要一个标题。,노래에는 제목이 필요해요.
leaveNoSave,Leave without saving your changes?,¿Salir sin guardar los cambios?,Quitter sans enregistrer vos modifications ?,Ohne Speichern der Änderungen verlassen?,Uscire senza salvare le modifiche?,Sair sem salvar as alterações?,"Выйти, не сохранив изменения?",変更を保存せずに戻りますか？,不保存修改就离开吗？,변경 사항을 저장하지 않고 나갈까요?
hintNextField,next field,siguiente campo,champ suivant,nächstes Feld,campo successivo,próximo campo,следующее поле,次の入力欄,下一个输入框,다음 칸
hintAdvance,advance / new word,avanzar / nueva palabra,avancer / nouveau mot,weiter / neues Wort,avanza / nuova parola,avançar / nova palavra,дальше / новое слово,進む / 単語を追加,前进 / 新单词,다음 / 단어 추가
hintRemoveRow,empty row: remove it,fila vacía: quitarla,ligne vide : la retirer,leere Zeile: entfernen,riga vuota: rimuovila,linha vazia: removê-la,пустая строка: убрать,空の行：削除,空行：移除,빈 줄: 삭제
hintBackNoSave,back without saving,volver sin guardar,retour sans enregistrer,zurück ohne Speichern,indietro senza salvare,voltar sem salvar,назад без сохранения,保存せずに戻る,不保存返回,저장 없이 뒤로
writeWord,Write the word,Escribí la palabra,Écrivez le mot,Schreibe das Wort,Scrivi la parola,Escreva a palavra,Напишите слово,単語を入力,写出这个单词,단어를 입력하세요
writeTranslation,Write the translation,Escribí la traducción,Écrivez la traduction,Schreibe die Übersetzung,Scrivi la traduzione,Escreva a tradução,Напишите перевод,訳を入力,写出翻译,번역을 입력하세요
progress,Word {n} of {total},Palabra {n} de {total},Mot {n} sur {total},Wort {n} von {total},Parola {n} di {total},Palavra {n} de {total},Слово {n} из {total},{total} 個中 {n} 個目,第 {n} 个，共 {total} 个,{total}개 중 {n}번째 단어
correct,✓ Correct!,✓ ¡Correcto!,✓ Correct !,✓ Richtig!,✓ Esatto!,✓ Correto!,✓ Верно!,✓ 正解！,✓ 正确！,✓ 정답!
wrongWas,✗ It was: {answer},✗ Era: {answer},✗ C'était : {answer},✗ Es war: {answer},✗ Era: {answer},✗ Era: {answer},✗ Было: {answer},✗ 正解は：{answer},✗ 正确答案是：{answer},✗ 정답은: {answer}
complete,Practice complete!,¡Práctica completa!,Révision terminée !,Übung abgeschlossen!,Esercizio completato!,Prática concluída!,Тренировка завершена!,練習が終わりました！,练习完成！,연습을 마쳤어요!
result,You got {hits} of {total} words right on the first try ({pct}%).,Acertaste {hits} de {total} palabras al primer intento ({pct}%).,Vous avez trouvé {hits} mots sur {total} du premier coup ({pct} %).,Du hattest {hits} von {total} Wörtern beim ersten Versuch richtig ({pct} %).,Hai indovinato {hits} parole su {total} al primo tentativo ({pct}%).,Você acertou {hits} de {total} palavras na primeira tentativa ({pct}%).,Вы угадали {hits} из {total} слов с первой попытки ({pct} %).,{total} 個のうち {hits} 個を一発で正解しました（{pct}%）。,你第一次就答对了 {total} 个单词中的 {hits} 个（{pct}%）。,{total}개 중 {hits}개를 첫 번째 시도에 맞혔어요 ({pct}%).
again,↻ Practice again,↻ Practicar de nuevo,↻ Réviser à nouveau,↻ Nochmal üben,↻ Esercitati di nuovo,↻ Praticar de novo,↻ Тренировать снова,↻ もう一度練習,↻ 再练一次,↻ 다시 연습
backToList,← Back to the list,← Volver a la lista,← Retour à la liste,← Zurück zur Liste,← Torna alla lista,← Voltar à lista,← Назад к списку,← 一覧に戻る,← 返回列表,← 목록으로
hintCheck,check,comprobar,vérifier,prüfen,controlla,verificar,проверить,確認,检查,확인
hintEndPractice,end practice,terminar práctica,terminer,Übung beenden,termina esercizio,encerrar prática,завершить,練習を終える,结束练习,연습 끝내기
hintChoose,choose,elegir,choisir,wählen,scegli,escolher,выбрать,選ぶ,选择,고르기
hintBack,back,volver,retour,zurück,indietro,voltar,назад,戻る,返回,뒤로
settingsTitle,⚙ Settings,⚙ Configuración,⚙ Paramètres,⚙ Einstellungen,⚙ Impostazioni,⚙ Configurações,⚙ Настройки,⚙ 設定,⚙ 设置,⚙ 설정
settingsSubtitle,How you want to practice.,Cómo querés practicar.,Comment vous voulez réviser.,Wie du üben möchtest.,Come vuoi esercitarti.,Como você quer praticar.,Как вы хотите тренироваться.,どんなふうに練習しますか。,你想怎么练习。,어떻게 연습할지 정하세요.
catLanguage,Interface language,Idioma de la interfaz,Langue de l'interface,Sprache der Oberfläche,Lingua dell'interfaccia,Idioma da interface,Язык интерфейса,表示言語,界面语言,인터페이스 언어
langDesc,Press Enter to choose another language.,Presioná Enter para elegir otro idioma.,Appuyez sur Entrée pour choisir une autre langue.,"Drücken Sie die Eingabetaste, um eine andere Sprache zu wählen.",Premi Invio per scegliere un'altra lingua.,Pressione Enter para escolher outro idioma.,"Нажмите Enter, чтобы выбрать другой язык.",Enterキーで他の言語を選べます。,按 Enter 选择其他语言。,Enter 키를 눌러 다른 언어를 선택하세요.
catDirection,Practice direction,Dirección de práctica,Sens de la révision,Übungsrichtung,Direzione dell'esercizio,Direção da prática,Направление тренировки,出題の向き,练习方向,연습 방향
catMistakes,Mistakes,Errores,Erreurs,Fehler,Errori,Erros,Ошибки,間違い,错误,오답
catChecking,Answer checking,Comprobación de respuestas,Vérification des réponses,Antwortprüfung,Controllo delle risposte,Verificação das respostas,Проверка ответов,答え合わせ,答案检查,정답 확인
dirToWord,Translation → Word,Traducción → Palabra,Traduction → Mot,Übersetzung → Wort,Traduzione → Parola,Tradução → Palavra,Перевод → Слово,訳 → 単語,翻译 → 单词,번역 → 단어
dirToWordDesc,You see your translation and type the word as it appears in the song.,Ves tu traducción y escribís la palabra como aparece en la canción.,Vous voyez votre traduction et tapez le mot tel qu'il apparaît dans la chanson.,"Du siehst deine Übersetzung und tippst das Wort so, wie es im Lied vorkommt.",Vedi la tua traduzione e scrivi la parola come appare nella canzone.,Você vê a sua tradução e digita a palavra como ela aparece na música.,"Вы видите свой перевод и вводите слово так, как оно звучит в песне.",自分の訳が表示され、曲に出てくるとおりに単語を入力します。,你看到自己的翻译，然后按歌里的样子写出单词。,"내 번역을 보고, 노래에 나오는 그대로 단어를 입력해요."
dirToTranslation,Word → Translation,Palabra → Traducción,Mot → Traduction,Wort → Übersetzung,Parola → Traduzione,Palavra → Tradução,Слово → Перевод,単語 → 訳,单词 → 翻译,단어 → 번역
dirToTranslationDesc,You see the word from the song and type your translation.,Ves la palabra de la canción y escribís tu traducción.,Vous voyez le mot de la chanson et tapez votre traduction.,Du siehst das Wort aus dem Lied und tippst deine Übersetzung.,Vedi la parola della canzone e scrivi la tua traduzione.,Você vê a palavra da música e digita a sua tradução.,Вы видите слово из песни и вводите свой перевод.,曲の単語が表示され、自分の訳を入力します。,你看到歌里的单词，然后写出自己的翻译。,"노래 속 단어를 보고, 내 번역을 입력해요."
retryLabel,Ask missed words again,Repreguntar las falladas,Redemander les mots ratés,Falsche Wörter erneut fragen,Richiedi le parole sbagliate,Perguntar de novo as erradas,Спрашивать ошибочные снова,間違えた単語をもう一度出す,重新提问答错的单词,틀린 단어 다시 묻기
retryDesc,A word you miss comes back at the end of its song until you get it.,Una palabra fallada vuelve al final de su canción hasta que la aciertes.,Un mot raté revient à la fin de sa chanson jusqu'à ce que vous le trouviez.,"Ein falsch beantwortetes Wort kommt am Ende seines Liedes zurück, bis du es kannst.",Una parola sbagliata torna alla fine della sua canzone finché non la indovini.,Uma palavra errada volta no fim da música dela até você acertar.,"Слово с ошибкой возвращается в конце своей песни, пока вы его не угадаете.",間違えた単語は、正解するまでその曲の最後にもう一度出てきます。,答错的单词会在它所属歌曲的最后再次出现，直到你答对为止。,틀린 단어는 맞힐 때까지 해당 노래의 마지막에 다시 나와요.
accentsLabel,Ignore accents,Ignorar tildes,Ignorer les accents,Akzente ignorieren,Ignora gli accenti,Ignorar acentos,Не учитывать диакритику,アクセント記号を無視,忽略变音符号,악센트 무시
accentsDesc,é counts as e: “cancion” is accepted for “canción”.,é cuenta como e: “cancion” se acepta para “canción”.,é compte comme e : “eleve” est accepté pour “élevé”.,é zählt wie e: „schon“ wird für „schön“ akzeptiert.,é conta come e: “perche” è accettato per “perché”.,é conta como e: “cafe” é aceito para “café”.,é считается как e: «cancion» принимается вместо «canción».,é は e として扱います：「canción」に「cancion」も正解になります。,é 视同 e：“cancion”也算“canción”正确。,é는 e로 봐요: “canción”에 “cancion”도 정답이에요.
hintChange,change,cambiar,changer,ändern,cambia,mudar,изменить,変更,更改,변경
yes,Yes,Sí,Oui,Ja,Sì,Sim,Да,はい,是,예
no,No,No,Non,Nein,No,Não,Нет,いいえ,否,아니요
goodbyeTitle,See you soon!,¡Hasta pronto!,À bientôt !,Bis bald!,A presto!,Até breve!,До скорого!,またね！,回头见！,또 만나요!
goodbyeBody,The server has stopped. You can close this tab now.,El servidor se detuvo. Ya podés cerrar esta pestaña.,Le serveur s'est arrêté. Vous pouvez fermer cet onglet.,Der Server wurde beendet. Du kannst diesen Tab jetzt schließen.,Il server si è fermato. Ora puoi chiudere questa scheda.,O servidor foi encerrado. Você já pode fechar esta aba.,Сервер остановлен. Теперь можно закрыть эту вкладку.,サーバーを停止しました。このタブを閉じて大丈夫です。,服务器已停止，现在可以关闭这个标签页了。,서버가 멈췄어요. 이제 이 탭을 닫아도 됩니다.
